Fecha,S_TCM,pct_NAMO,u_RNA,u_final,zona
2024-07-07,801961.7000000007,24.563809226264336,0.0,0.0,🔴 Emergencia
2024-07-14,801961.7000000007,24.563809226264336,0.0,0.0,🔴 Emergencia
2024-07-21,801961.7000000007,24.563809226264336,0.0,0.0,🔴 Emergencia
2024-07-28,801961.7000000007,24.563809226264336,0.0,0.0,🔴 Emergencia
2024-08-04,805454.7000000007,24.670798606963366,-3493.0,-3493.0,🔴 Emergencia
2024-08-11,808947.7000000007,24.777787987662396,-3493.0,-3493.0,🔴 Emergencia
2024-08-18,812440.7000000007,24.884777368361423,-3493.0,-3493.0,🔴 Emergencia
2024-08-25,815933.7000000007,24.991766749060456,-3493.0,-3493.0,🔴 Emergencia
2024-09-01,819426.7000000007,25.098756129759487,-3493.0,-3493.0,🟠 Crítico
2024-09-08,822919.7000000007,25.205745510458517,-3493.0,-3493.0,🟠 Crítico
2024-09-15,826412.7000000007,25.312734891157547,-3493.0,-3493.0,🟠 Crítico
2024-09-22,829905.7000000007,25.419724271856577,-3493.0,-3493.0,🟠 Crítico
2024-09-29,833398.7000000007,25.526713652555603,-3493.0,-3493.0,🟠 Crítico
2024-10-06,836891.7000000007,25.633703033254633,-3493.0,-3493.0,🟠 Crítico
2024-10-13,840384.7000000007,25.740692413953663,-3493.0,-3493.0,🟠 Crítico
2024-10-20,843877.7000000007,25.847681794652694,-3493.0,-3493.0,🟠 Crítico
2024-10-27,847370.7000000007,25.954671175351724,-3493.0,-3493.0,🟠 Crítico
2024-11-03,850863.7000000007,26.061660556050754,-3493.0,-3493.0,🟠 Crítico
2024-11-10,854356.7000000007,26.168649936749784,-3493.0,-3493.0,🟠 Crítico
2024-11-17,857849.7000000007,26.275639317448814,-3493.0,-3493.0,🟠 Crítico
2024-11-24,861342.7000000007,26.382628698147848,-3493.0,-3493.0,🟠 Crítico
2024-12-01,861342.7000000007,26.382628698147848,0.0,0.0,🟠 Crítico
2024-12-08,861342.7000000007,26.382628698147848,0.0,0.0,🟠 Crítico
2024-12-15,861342.7000000007,26.382628698147848,0.0,0.0,🟠 Crítico
2024-12-22,861342.7000000007,26.382628698147848,0.0,0.0,🟠 Crítico
2024-12-29,861342.7000000007,26.382628698147848,0.0,0.0,🟠 Crítico
