escenario,descripcion,metodo,SRS,semanas_criticas,S_min_traj,S_final,viol_flujo,viol_embalse_min,viol_embalse_max,viol_balance,fallos,factible,sum_u,balance_limite,tiempo_reopt_s
nominal,Datos historicos sin perturbacion,Historico,-0.1563118090710891,23,308456.1000000003,767381.1000000004,0,0,0,0,0,True,0.0,82212.92355652081,
nominal,Datos historicos sin perturbacion,Regla umbral,-0.14999122897683548,20,351868.80600000004,836117.8844999998,0,0,0,0,0,True,-68736.78449999998,82212.92355652081,
nominal,Datos historicos sin perturbacion,QUBO+SA nominal,-0.14537095293012758,22,348251.08050000004,807176.0805,0,0,0,0,0,True,-39794.98049999999,82212.92355652081,
nominal,Datos historicos sin perturbacion,QUBO+SA reoptimizado,-0.14537095293012758,22,348251.08050000004,807176.0805,0,0,0,0,0,True,-39794.98049999999,82212.92355652081,3.6648571491241455
sequia_10,Liberaciones historicas 10% menores y cambios de almacenamiento mas secos,Historico,-0.1714581077829075,27,293651.3763000002,685168.1764434793,0,0,0,0,0,True,0.0,73991.63120086872,
sequia_10,Liberaciones historicas 10% menores y cambios de almacenamiento mas secos,Regla umbral,-0.16512907416964112,26,337064.08229999995,753904.9609434789,0,0,0,0,0,True,-68736.78449999998,73991.63120086872,
sequia_10,Liberaciones historicas 10% menores y cambios de almacenamiento mas secos,QUBO+SA nominal,-0.1599870930884559,27,333446.35679999995,724963.1569434789,0,0,0,0,0,True,-39794.98049999999,73991.63120086872,
sequia_10,Liberaciones historicas 10% menores y cambios de almacenamiento mas secos,QUBO+SA reoptimizado,-0.15967468268441348,27,332722.8117,724239.6118434791,0,0,0,0,0,True,-39071.4354,73991.63120086872,3.686708927154541
sequia_20,Liberaciones historicas 20% menores y mayor perdida neta,Historico,-0.19231361111770337,27,278846.6526000004,602955.2528869588,0,0,0,0,0,True,0.0,65770.33884521664,
sequia_20,Liberaciones historicas 20% menores y mayor perdida neta,Regla umbral,-0.18623470777355733,27,322259.35860000004,671692.0373869583,0,0,0,1,1,False,-68736.78449999998,65770.33884521664,
sequia_20,Liberaciones historicas 20% menores y mayor perdida neta,QUBO+SA nominal,-0.1807737517999713,27,318641.63310000004,642750.2333869585,0,0,0,0,0,True,-39794.98049999999,65770.33884521664,
sequia_20,Liberaciones historicas 20% menores y mayor perdida neta,QUBO+SA reoptimizado,-0.1797758316011042,27,313576.8174000003,640579.5980869588,0,0,0,0,0,True,-37624.3452,65770.33884521664,3.6947479248046875
ruido_suave,Variacion semanal controlada de 6%,Historico,-0.1507340029189064,22,317454.9921962316,777615.062099031,0,0,0,0,0,True,0.0,81858.29152043766,
ruido_suave,Variacion semanal controlada de 6%,Regla umbral,-0.14691684110087355,20,360867.69819623133,846351.8465990304,0,0,0,0,0,True,-68736.78449999998,81858.29152043766,
ruido_suave,Variacion semanal controlada de 6%,QUBO+SA nominal,-0.14140538091277705,21,357249.9726962313,817410.0425990307,0,0,0,0,0,True,-39794.98049999999,81858.29152043766,
ruido_suave,Variacion semanal controlada de 6%,QUBO+SA reoptimizado,-0.14126329928019804,21,355431.92618461,815591.9960874092,0,0,0,0,0,True,-37976.933988378325,81858.29152043766,4.238006114959717
ruido_fuerte,Variacion semanal controlada de 12%,Historico,-0.1594873591095283,22,301422.82716960856,770080.8629669426,0,0,0,0,0,True,0.0,84624.48242640332,
ruido_fuerte,Variacion semanal controlada de 12%,Regla umbral,-0.14927303751721369,20,344835.5331696083,838817.6474669421,0,0,0,0,0,True,-68736.78449999998,84624.48242640332,
ruido_fuerte,Variacion semanal controlada de 12%,QUBO+SA nominal,-0.1461939817058052,21,341217.8076696083,809875.8434669423,0,0,0,0,0,True,-39794.98049999999,84624.48242640332,
ruido_fuerte,Variacion semanal controlada de 12%,QUBO+SA reoptimizado,-0.14582108999209423,21,350047.47105863155,818705.5068559656,0,0,0,0,0,True,-48624.64388902305,84624.48242640332,4.041367053985596
bloque_critico,Cinco semanas consecutivas con reduccion fuerte de liberaciones,Historico,-0.16215990902807875,26,296225.70975000033,751770.7327500003,0,0,0,0,0,True,0.0,80651.88683152081,
bloque_critico,Cinco semanas consecutivas con reduccion fuerte de liberaciones,Regla umbral,-0.15531890329597586,21,339638.41575000004,820507.5172499999,0,0,0,0,0,True,-68736.78449999998,80651.88683152081,
bloque_critico,Cinco semanas consecutivas con reduccion fuerte de liberaciones,QUBO+SA nominal,-0.15076916876221616,22,336020.69025000004,791565.7132500001,0,0,0,0,0,True,-39794.98049999999,80651.88683152081,
bloque_critico,Cinco semanas consecutivas con reduccion fuerte de liberaciones,QUBO+SA reoptimizado,-0.1507185231389704,22,339070.80825000064,794615.8312500006,0,0,0,0,0,True,-42845.09849999999,80651.88683152081,4.060862302780151
desfase_temporal,Cambios de almacenamiento desplazados dos semanas,Historico,-0.23956409616874272,27,221598.70000000065,767381.1000000003,0,0,0,0,0,True,0.0,82212.92355652081,
desfase_temporal,Cambios de almacenamiento desplazados dos semanas,Regla umbral,-0.21970783049736536,26,272246.8570000006,836117.8845000002,0,0,0,0,0,True,-68736.78449999998,82212.92355652081,
desfase_temporal,Cambios de almacenamiento desplazados dos semanas,QUBO+SA nominal,-0.21937520898635354,27,261393.6805000006,807176.0805000002,0,0,0,0,0,True,-39794.98049999999,82212.92355652081,
desfase_temporal,Cambios de almacenamiento desplazados dos semanas,QUBO+SA reoptimizado,-0.21745888050786627,27,283100.03350000054,828882.4335000003,0,0,0,0,0,True,-61501.333499999986,82212.92355652081,3.683134078979492
